Roll No,Age,Gender,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Extracurricular,MSE s1,MSE s2,MSE s3,MSE s4,MSE s5,CGPA,Grade
1001,20,1,2,19.83372281,7,1,2,0,0,30,20,20,20,16,9.86,A+
1002,20,0,1,15.40875606,0,0,1,0,0,27,19,19,19,20,9.936027052,A+
1003,20,0,3,14.21056977,26,0,2,0,0,27,18,18,18,20,9.115223412,A+
1004,20,1,3,10.02882947,14,0,3,1,1,24,17,17,17,11,8.310649426,A
1005,20,1,2,10.1389538,17,1,3,0,0,24,17,17,17,18,8.293132993,A
1006,21,0,1,8.191218545,0,0,1,1,1,22,16,16,16,13,8.085955532,A
1007,20,0,1,8.191218545,10,0,3,0,0,22,16,16,16,17,7.919399977,B
1008,20,1,4,15.42449631,22,1,1,1,1,27,19,19,19,20,9.56,A+
1009,20,0,0,10.1389538,1,0,2,0,0,24,17,17,17,18,8.599921882,A
1010,20,1,1,9.401459343,0,0,3,1,1,23,17,17,17,9,8.422518022,A
1011,21,0,1,9.201761628,11,0,1,0,0,23,17,17,17,19,8.096597045,A
1012,20,0,1,8.504804912,15,0,2,0,0,23,16,16,16,14,7.833851381,B
1013,20,0,1,8.523158967,21,0,3,1,1,12,16,16,16,8,7.747343086,B
1014,20,0,2,8.198536424,21,0,4,0,0,22,16,16,16,19,7.718272769,B
1015,20,1,1,8.198536424,9,1,2,0,0,22,16,16,16,10,7.914739436,B
1016,20,0,2,9.404082718,17,1,0,0,0,23,17,17,17,14,8.106448935,A
1017,20,0,1,12.76033459,14,0,4,1,1,26,18,18,18,19,9.102343813,A+
1018,20,1,0,9.907411061,16,1,2,0,0,24,17,17,17,13,8.230980549,A
1019,20,0,3,8.808560609,29,0,2,1,1,23,16,16,16,9,7.672671993,B
1020,20,0,1,8.099747637,9,0,2,0,0,22,16,16,16,13,7.845307405,B
1021,20,1,3,8.506451936,2,0,3,0,0,23,16,16,16,17,8.11219761,A
1022,20,0,2,8.850237511,25,0,1,1,1,23,16,16,16,16,7.764723451,B
1023,20,1,0,8.699635106,29,1,1,0,0,23,16,16,16,15,7.644130382,B
1024,20,1,4,8.454683452,20,0,2,1,1,22,16,16,16,11,7.763170413,B
1025,20,1,1,8.51644268,15,0,2,0,0,23,16,16,16,8,7.82484739,B
1026,20,1,3,7.421373035,5,0,4,0,0,22,16,16,16,16,7.781489936,B
1027,20,0,1,9.542443014,2,0,2,0,0,23,17,17,17,11,8.410401526,A
1028,20,1,3,8.639201066,8,0,3,0,0,23,16,16,16,9,8.010639005,A
1029,20,0,0,7.270266206,10,0,3,1,1,22,16,16,16,18,7.684311453,B
1030,20,0,2,9.387190339,20,0,3,1,1,23,17,17,17,14,8.029733521,A
1031,20,0,2,9.941479928,12,1,0,0,0,24,17,17,17,15,8.348573407,A
1032,20,0,3,9.991022997,17,0,4,0,0,24,17,17,17,19,8.219549919,A
1033,20,0,3,8.063392441,25,0,1,0,0,22,16,16,16,10,7.548159292,B
1034,20,0,3,7.285056245,21,0,0,1,1,22,16,16,16,13,7.471107867,B
1035,20,0,3,8.561332089,27,1,2,1,1,23,16,16,16,12,7.754936982,B
1036,20,0,1,7.208697431,23,0,1,0,0,22,16,16,16,9,7.316039062,B
1037,20,0,1,9.946624728,26,1,1,0,0,24,17,17,17,16,8.035020098,A
1038,20,0,1,7.445265425,21,1,1,0,0,22,16,16,16,20,7.538851866,B
1039,20,1,1,7.6758862,3,1,1,1,1,22,16,16,16,7,7.981422516,B
1040,20,1,1,8.188788423,21,1,3,1,1,22,16,16,16,9,7.783263259,B
1041,20,1,2,8.110548229,23,1,1,0,0,22,16,16,16,15,7.610210115,B
1042,20,0,1,9.482209641,7,0,2,0,0,23,17,17,17,19,8.261117363,A
1043,20,1,2,8.354389402,12,1,4,0,0,22,16,16,16,13,7.925995315,B
1044,20,1,1,7.402560867,9,0,2,0,0,22,16,16,16,9,7.707824738,B
1045,20,1,1,7.724032985,1,1,3,1,1,22,16,16,16,17,8.07872846,A
1046,20,0,2,8.530377951,7,0,4,0,0,23,16,16,16,9,8.015079308,A
1047,20,0,2,7.324846391,5,0,1,1,1,13,16,16,13,15,7.743140268,B
1048,20,0,2,8.872185585,15,0,2,0,0,23,16,16,16,12,7.924429284,B
1049,20,0,2,8.719157689,17,0,3,0,0,23,16,16,16,13,7.859622912,B
1050,20,1,1,9.215674388,16,0,4,1,1,23,17,17,17,19,8.087900946,A
1051,20,1,2,9.959015385,5,0,3,0,0,24,17,17,17,17,8.434276596,A
1052,20,1,0,9.87418187,12,1,1,1,1,23,17,17,17,11,8.333748301,A
